Date,Open,High,Low,Close,Volume
23-Feb-17,5.09,5.13,5.04,5.08,768338
22-Feb-17,5.16,5.20,5.03,5.09,1295584
21-Feb-17,5.34,5.35,5.08,5.17,1808711
17-Feb-17,5.58,5.74,5.29,5.33,1605998
16-Feb-17,5.29,5.59,5.27,5.56,2063593
15-Feb-17,5.18,5.33,5.15,5.27,940935
14-Feb-17,5.18,5.37,5.08,5.21,1218461
13-Feb-17,5.03,5.12,4.92,5.08,1465130
10-Feb-17,4.88,5.04,4.85,5.01,1451934
9-Feb-17,4.84,4.97,4.77,4.86,1077680
8-Feb-17,4.75,4.91,4.68,4.84,922015
7-Feb-17,4.63,4.80,4.55,4.76,1176237
6-Feb-17,4.79,4.88,4.61,4.62,1679990
3-Feb-17,4.61,5.39,4.61,4.78,3192832
2-Feb-17,4.87,4.92,4.78,4.87,1072702
1-Feb-17,4.86,4.94,4.74,4.84,1237199
31-Jan-17,4.75,4.87,4.67,4.82,983732
30-Jan-17,4.89,4.94,4.71,4.78,879386
27-Jan-17,4.78,4.94,4.74,4.91,1152235
26-Jan-17,4.97,5.00,4.66,4.78,1470212
25-Jan-17,4.55,5.09,4.50,4.93,5691044
24-Jan-17,4.74,4.99,4.40,4.53,5938683
23-Jan-17,4.54,4.78,4.33,4.75,4055525
20-Jan-17,4.56,4.59,4.40,4.56,920700
19-Jan-17,4.80,4.80,4.49,4.55,885047
18-Jan-17,4.79,4.86,4.70,4.81,935187
17-Jan-17,4.93,4.94,4.72,4.78,869436
13-Jan-17,4.70,4.87,4.69,4.80,554262
12-Jan-17,4.66,4.72,4.60,4.69,836279
11-Jan-17,5.11,5.15,4.65,4.69,1585438
10-Jan-17,4.82,5.03,4.80,5.01,1046567
9-Jan-17,4.88,4.97,4.82,4.84,1137648
6-Jan-17,4.83,4.96,4.74,4.85,1018779
5-Jan-17,4.64,5.03,4.61,4.81,2305201
4-Jan-17,4.48,4.65,4.22,4.59,5331172
3-Jan-17,3.82,4.42,3.78,4.36,5410230
30-Dec-16,3.82,3.85,3.76,3.80,1060059
29-Dec-16,3.90,3.90,3.77,3.82,1109984
28-Dec-16,3.91,3.95,3.77,3.84,2200471
27-Dec-16,4.06,4.25,3.88,3.90,3437599
23-Dec-16,3.90,4.05,3.86,4.03,1375630
