Date,Open,High,Low,Close,Volume
15-Feb-17,4.57,4.68,4.50,4.68,51304
14-Feb-17,4.62,4.87,4.52,4.61,230390
13-Feb-17,4.54,4.74,4.35,4.62,169707
10-Feb-17,4.27,4.64,4.20,4.51,240185
9-Feb-17,4.25,4.38,4.25,4.30,51704
8-Feb-17,4.36,4.48,4.25,4.25,106919
7-Feb-17,4.65,4.65,4.36,4.36,71517
6-Feb-17,5.01,5.01,4.37,4.60,255644
3-Feb-17,5.00,5.37,4.66,4.90,504005
2-Feb-17,4.47,5.18,4.40,4.85,486701
1-Feb-17,4.69,4.75,4.44,4.49,85495
31-Jan-17,4.56,4.84,4.43,4.59,177883
30-Jan-17,4.53,4.60,4.41,4.57,48986
27-Jan-17,4.40,4.54,4.36,4.40,40423
26-Jan-17,4.25,4.65,4.20,4.36,166704
25-Jan-17,4.21,4.45,4.21,4.27,47180
24-Jan-17,4.36,4.44,4.21,4.21,53173
23-Jan-17,4.44,4.63,4.29,4.35,50659
20-Jan-17,4.15,4.72,4.09,4.45,248966
19-Jan-17,4.29,4.35,4.06,4.16,119432
18-Jan-17,4.65,4.79,4.20,4.30,144921
17-Jan-17,4.71,4.85,4.55,4.55,75894
13-Jan-17,5.00,5.19,4.65,4.72,60409
12-Jan-17,5.20,5.29,4.74,4.98,210324
11-Jan-17,5.70,5.83,5.00,5.18,552165
10-Jan-17,5.72,6.20,4.48,6.00,1688724
9-Jan-17,4.65,5.26,4.53,4.90,441203
6-Jan-17,4.34,4.67,4.34,4.58,58416
5-Jan-17,4.32,4.40,4.25,4.40,11833
4-Jan-17,4.17,4.36,4.17,4.32,11177
3-Jan-17,4.11,4.30,4.11,4.29,14460
30-Dec-16,4.32,4.32,4.12,4.24,10800
29-Dec-16,4.30,4.38,4.20,4.27,26713
28-Dec-16,4.38,4.38,4.12,4.29,13620
27-Dec-16,4.30,4.30,4.07,4.22,24096
23-Dec-16,4.48,4.48,4.27,4.27,10449
22-Dec-16,4.40,4.48,4.26,4.39,45278
21-Dec-16,4.49,4.66,4.26,4.28,53009
20-Dec-16,4.45,4.53,4.29,4.36,23217
19-Dec-16,4.65,4.65,4.30,4.44,51147
16-Dec-16,4.55,4.85,4.43,4.64,69318
15-Dec-16,4.65,5.00,4.32,4.55,157296
14-Dec-16,4.46,4.83,4.25,4.65,174109
13-Dec-16,4.52,4.61,4.30,4.33,40231
12-Dec-16,4.53,4.62,4.25,4.39,69586
9-Dec-16,4.31,4.51,4.31,4.38,37763
8-Dec-16,4.39,4.58,4.25,4.39,49828
7-Dec-16,4.40,4.40,4.25,4.26,38289
6-Dec-16,4.62,4.73,4.38,4.39,100585
5-Dec-16,4.84,4.89,4.65,4.70,56608
2-Dec-16,5.08,5.09,4.62,4.68,104338
1-Dec-16,5.01,5.63,4.80,4.92,344555
30-Nov-16,5.35,5.35,4.75,4.78,155720
29-Nov-16,4.56,5.49,4.50,5.35,321259
28-Nov-16,4.83,4.83,4.58,4.60,94519
25-Nov-16,4.94,5.14,4.52,4.91,43524
23-Nov-16,5.08,5.27,4.68,4.89,136381
22-Nov-16,4.96,6.75,4.31,5.05,1133674
21-Nov-16,4.31,5.50,4.05,5.02,650537
18-Nov-16,4.50,4.50,4.05,4.14,49058
17-Nov-16,4.99,5.10,4.32,4.50,47978
16-Nov-16,4.75,5.64,4.31,4.92,70264
15-Nov-16,4.07,4.79,3.80,4.66,107298
14-Nov-16,4.64,4.80,3.79,3.96,173153
11-Nov-16,4.01,4.67,3.66,4.20,59991
10-Nov-16,4.00,4.17,3.91,3.95,17765
9-Nov-16,3.72,4.46,3.72,3.95,37128
8-Nov-16,4.49,4.66,4.26,4.40,14149
