Date,Open,High,Low,Close,Volume
21-Mar-17,18.74,19.17,18.20,18.29,223250
20-Mar-17,18.99,19.01,18.44,18.70,182613
17-Mar-17,18.58,19.21,18.33,18.96,335612
16-Mar-17,18.74,19.04,18.46,18.63,149575
15-Mar-17,18.39,18.90,18.36,18.82,105126
14-Mar-17,18.37,18.66,17.93,18.38,104320
13-Mar-17,18.64,18.85,18.30,18.50,108924
10-Mar-17,19.01,19.38,18.56,18.74,143008
9-Mar-17,18.66,19.13,18.46,18.86,164372
8-Mar-17,18.74,19.00,18.08,18.57,194079
7-Mar-17,19.08,19.27,18.67,18.76,188853
6-Mar-17,18.94,19.45,18.78,19.24,241935
3-Mar-17,18.44,19.41,18.44,19.20,173749
2-Mar-17,18.74,19.19,16.50,18.50,605241
1-Mar-17,19.06,19.38,18.86,19.09,386843
28-Feb-17,18.98,19.28,18.68,18.87,168934
27-Feb-17,18.81,19.34,18.64,19.08,205355
24-Feb-17,18.89,19.49,18.62,18.83,218720
23-Feb-17,19.11,19.35,18.81,19.03,180058
22-Feb-17,19.21,19.45,18.90,18.97,125845
21-Feb-17,19.17,19.54,18.91,19.27,115319
17-Feb-17,19.11,19.38,18.95,19.11,141403
16-Feb-17,19.04,19.68,18.37,19.07,154850
15-Feb-17,19.02,19.19,18.64,19.17,234477
14-Feb-17,18.88,19.31,18.81,18.99,261713
13-Feb-17,19.33,19.33,18.84,18.98,101568
10-Feb-17,19.58,19.64,19.12,19.22,168198
9-Feb-17,19.05,19.60,19.05,19.53,134647
8-Feb-17,18.95,19.37,18.75,19.08,124480
7-Feb-17,18.80,19.24,18.57,19.01,124395
6-Feb-17,19.10,19.20,18.53,18.80,140644
3-Feb-17,18.73,19.13,18.63,19.10,83366
2-Feb-17,18.52,18.90,18.24,18.68,129494
1-Feb-17,18.15,18.60,18.09,18.49,181953
31-Jan-17,17.53,18.23,17.53,18.04,106860
30-Jan-17,17.70,17.80,17.54,17.67,139182
27-Jan-17,17.79,17.84,17.56,17.75,86140
26-Jan-17,17.60,17.75,17.30,17.65,96886
25-Jan-17,17.80,17.92,17.40,17.58,172524
24-Jan-17,17.57,17.78,17.06,17.59,174304
23-Jan-17,17.16,17.64,17.01,17.54,287817
20-Jan-17,17.70,18.11,17.19,17.26,176543
19-Jan-17,17.95,18.17,17.61,17.76,123479
18-Jan-17,18.01,18.01,17.14,17.95,452299
17-Jan-17,18.79,18.79,17.65,18.02,205831
13-Jan-17,18.85,19.16,18.70,18.94,127629
12-Jan-17,17.81,18.89,17.54,18.76,291643
11-Jan-17,18.13,18.70,17.61,17.88,704199
10-Jan-17,20.50,20.99,16.61,17.99,1430137
9-Jan-17,23.10,23.25,22.53,22.99,130750
6-Jan-17,22.08,23.04,21.95,22.75,73067
5-Jan-17,22.14,22.49,21.71,21.96,132953
4-Jan-17,22.25,22.64,21.83,22.15,248160
3-Jan-17,22.50,22.52,21.80,22.08,98869
30-Dec-16,22.44,22.85,22.01,22.30,120116
29-Dec-16,22.76,23.01,22.19,22.48,106749
28-Dec-16,22.38,22.98,22.02,22.71,172524
27-Dec-16,22.43,23.05,21.98,22.27,57302
23-Dec-16,22.08,22.50,21.94,22.44,105648
22-Dec-16,22.29,22.70,21.77,22.01,98611
21-Dec-16,22.29,22.40,21.80,22.21,95395
20-Dec-16,22.04,22.27,21.57,22.19,101859
19-Dec-16,22.11,22.51,21.78,21.89,93162
16-Dec-16,22.35,23.31,21.84,22.05,317386
15-Dec-16,21.73,22.32,21.32,22.24,197248
14-Dec-16,21.64,22.09,21.43,21.80,90989
13-Dec-16,21.47,22.03,21.05,21.76,159893
12-Dec-16,21.73,21.79,21.34,21.49,124024
9-Dec-16,22.25,22.81,21.58,21.79,138118
8-Dec-16,21.95,22.22,21.38,22.14,85021
7-Dec-16,22.15,22.15,21.30,21.96,97342
6-Dec-16,22.03,22.19,21.64,22.07,93460
5-Dec-16,22.18,22.18,21.64,21.99,137606
2-Dec-16,21.44,22.73,21.27,22.14,141437
1-Dec-16,22.02,22.34,21.33,21.58,189016
30-Nov-16,22.48,22.54,21.69,22.00,144635
29-Nov-16,21.97,22.84,21.78,22.30,336819
28-Nov-16,22.83,22.86,21.89,21.97,260342
25-Nov-16,23.03,23.41,22.56,22.87,44068
23-Nov-16,22.48,23.09,22.05,23.05,162697
22-Nov-16,22.85,23.00,21.50,22.49,506808
21-Nov-16,23.43,23.43,22.30,22.86,87980
18-Nov-16,23.11,23.40,22.71,23.27,164711
17-Nov-16,22.74,23.24,22.49,22.98,134739
16-Nov-16,22.68,23.22,22.53,22.80,84046
15-Nov-16,22.76,23.24,22.13,22.69,133917
14-Nov-16,22.79,23.45,22.42,22.87,155586
11-Nov-16,22.60,22.79,21.78,22.71,165383
10-Nov-16,22.71,22.87,21.70,22.68,191674
9-Nov-16,21.22,22.65,20.70,22.50,252720
8-Nov-16,20.52,21.68,20.52,21.48,133903
7-Nov-16,20.54,21.48,20.40,20.63,193697
4-Nov-16,20.07,20.68,20.00,20.49,142773
3-Nov-16,18.49,20.33,18.49,20.27,278803
2-Nov-16,19.43,19.62,18.19,18.39,225512
1-Nov-16,19.58,19.69,19.20,19.52,103643
31-Oct-16,19.82,19.95,19.22,19.45,76305
28-Oct-16,19.60,20.14,19.55,19.76,82450
27-Oct-16,20.19,20.20,19.68,19.77,449531
26-Oct-16,19.97,20.25,19.69,20.05,225596
25-Oct-16,20.49,20.68,19.73,20.09,182467
24-Oct-16,20.34,20.49,20.16,20.43,49637
21-Oct-16,19.99,20.41,19.93,20.16,78874
20-Oct-16,19.81,20.51,19.81,20.19,45233
19-Oct-16,20.08,21.04,19.90,19.94,86493
18-Oct-16,19.90,20.23,19.74,20.13,55266
17-Oct-16,19.73,19.76,19.47,19.66,75238
14-Oct-16,20.05,20.10,19.59,19.71,169080
13-Oct-16,20.94,21.25,19.66,19.84,265304
12-Oct-16,21.26,21.47,20.82,21.14,112159
11-Oct-16,21.87,22.01,20.73,21.13,168568
10-Oct-16,21.00,22.49,21.00,21.96,170594
7-Oct-16,20.93,21.43,20.67,20.99,152479
6-Oct-16,20.74,21.23,19.86,21.11,348174
5-Oct-16,20.11,21.05,19.95,20.75,930116
4-Oct-16,19.74,20.23,19.67,20.12,139648
3-Oct-16,19.95,19.99,19.23,19.74,186908
30-Sep-16,19.50,20.28,19.30,19.98,685675
29-Sep-16,19.67,19.75,19.21,19.40,78764
28-Sep-16,19.57,19.85,19.26,19.73,98611
27-Sep-16,19.10,19.59,19.05,19.59,105028
26-Sep-16,19.07,19.54,18.89,19.05,159618
23-Sep-16,19.71,19.88,19.19,19.26,166069
22-Sep-16,19.28,19.83,18.92,19.77,192692
21-Sep-16,19.14,19.48,18.86,19.11,182131
20-Sep-16,18.78,19.41,18.63,19.29,253306
19-Sep-16,18.23,18.89,18.23,18.62,190917
16-Sep-16,17.99,18.30,17.76,18.22,205675
15-Sep-16,16.83,17.96,16.73,17.92,131050
14-Sep-16,16.12,17.27,16.12,16.89,121147
13-Sep-16,16.35,16.35,15.68,16.10,107068
12-Sep-16,16.51,16.77,16.20,16.36,78140
9-Sep-16,16.60,16.75,16.45,16.60,111211
8-Sep-16,16.39,16.76,16.31,16.66,73984
7-Sep-16,16.34,16.55,16.24,16.51,64628
6-Sep-16,16.50,16.72,16.29,16.43,42886
2-Sep-16,16.34,16.58,16.29,16.45,82078
1-Sep-16,16.11,16.54,15.61,16.25,142440
31-Aug-16,16.50,16.58,15.91,16.16,78535
30-Aug-16,16.58,16.65,16.40,16.49,78537
29-Aug-16,16.49,16.99,16.32,16.52,108556
26-Aug-16,16.44,16.66,16.31,16.55,157751
25-Aug-16,16.27,16.71,16.14,16.37,71311
24-Aug-16,16.51,16.83,16.10,16.25,108633
23-Aug-16,16.68,17.20,16.32,16.55,149384
22-Aug-16,16.56,17.33,16.48,16.54,170633
19-Aug-16,16.48,16.64,16.34,16.54,71466
18-Aug-16,16.57,16.64,16.26,16.49,86081
17-Aug-16,16.86,16.86,16.02,16.38,68744
16-Aug-16,16.47,16.86,16.46,16.55,383365
15-Aug-16,16.39,16.82,16.39,16.47,144031
12-Aug-16,16.93,16.93,16.40,16.47,81243
11-Aug-16,16.35,16.95,16.31,16.83,288705
10-Aug-16,16.38,16.87,16.09,16.16,61563
9-Aug-16,16.20,16.72,16.20,16.36,129725
8-Aug-16,16.36,16.64,16.10,16.34,119530
5-Aug-16,16.66,17.15,16.17,16.53,300248
4-Aug-16,14.98,17.00,14.25,16.72,515858
3-Aug-16,13.31,13.74,13.19,13.53,89557
2-Aug-16,13.64,13.79,13.26,13.39,46667
1-Aug-16,13.54,13.69,13.48,13.63,48530
29-Jul-16,13.61,13.91,13.35,13.59,108552
28-Jul-16,13.27,13.74,13.27,13.67,61982
27-Jul-16,13.26,13.46,13.21,13.33,55269
26-Jul-16,13.13,13.34,13.06,13.29,63215
25-Jul-16,13.36,13.38,13.08,13.15,80576
22-Jul-16,13.45,13.51,13.29,13.38,31509
21-Jul-16,13.42,13.69,13.29,13.48,88423
20-Jul-16,13.39,13.58,13.24,13.43,44074
19-Jul-16,13.59,13.59,13.24,13.28,116874
18-Jul-16,13.81,13.85,13.47,13.60,45878
15-Jul-16,13.61,13.94,13.26,13.81,73489
14-Jul-16,14.12,14.12,13.27,13.44,59771
13-Jul-16,13.99,14.38,13.88,13.96,72236
12-Jul-16,13.67,14.07,13.63,13.87,54486
11-Jul-16,13.08,13.78,13.01,13.60,86218
8-Jul-16,13.02,13.13,12.95,12.99,349078
7-Jul-16,13.04,13.15,12.68,12.99,205605
6-Jul-16,12.90,13.15,12.85,13.01,61859
5-Jul-16,12.70,13.13,12.50,12.99,217529
1-Jul-16,12.63,12.92,12.54,12.78,64818
30-Jun-16,12.41,12.67,12.32,12.60,127961
29-Jun-16,12.53,12.86,11.89,12.41,222190
28-Jun-16,12.28,12.81,12.17,12.37,217320
27-Jun-16,12.92,13.00,12.15,12.28,289814
24-Jun-16,13.64,13.77,12.99,13.05,382442
23-Jun-16,13.71,14.24,13.41,14.19,89457
22-Jun-16,13.49,14.10,13.40,13.52,72403
21-Jun-16,13.45,13.52,13.12,13.49,44744
20-Jun-16,13.32,13.78,13.08,13.39,86275
17-Jun-16,13.84,13.84,13.09,13.18,154110
16-Jun-16,13.80,13.93,13.40,13.79,123819
15-Jun-16,13.17,13.66,13.10,13.64,81386
14-Jun-16,13.33,13.34,12.86,13.15,77052
13-Jun-16,13.15,13.54,13.14,13.35,123615
10-Jun-16,13.21,13.30,13.02,13.19,56274
9-Jun-16,13.85,13.85,13.30,13.37,73547
8-Jun-16,13.94,14.09,13.69,13.98,54434
7-Jun-16,13.54,13.93,13.15,13.86,118291
6-Jun-16,13.72,13.81,13.50,13.60,84563
3-Jun-16,13.94,13.97,13.50,13.63,44383
2-Jun-16,13.46,14.01,13.17,13.98,149149
1-Jun-16,13.51,13.51,12.97,13.27,119898
31-May-16,13.99,13.99,13.38,13.58,107140
27-May-16,13.90,13.99,13.82,13.96,65911
26-May-16,13.81,14.00,13.61,13.93,70993
25-May-16,13.92,13.99,13.70,13.84,115150
24-May-16,13.75,13.99,13.68,13.81,110853
23-May-16,13.62,13.88,13.44,13.60,118336
